1,2016-03-04,15866
2,2016-05-19,4365
3,2016-05-14,32223
4,2016-08-26,24220
5,2016-02-02,10277
6,2016-12-22,33418
7,2016-01-07,36515
8,2016-11-04,25101
9,2016-05-02,30121
10,2016-10-06,32133
11,2016-05-27,33212
12,2016-02-12,47063
13,2016-10-27,43047
14,2016-01-24,38782
15,2016-10-16,18448
16,2016-06-11,1852
17,2016-03-23,25411
18,2016-07-13,25381
19,2016-06-17,11530
20,2016-05-08,9366
21,2016-03-20,25990
22,2016-10-13,57418
23,2016-08-07,37142
24,2016-07-08,42592
25,2016-03-27,31089
26,2016-02-23,4873
27,2016-03-27,22025
28,2016-09-02,5565
29,2016-05-20,1424
30,2016-11-03,36449
31,2016-06-16,44733
32,2016-11-28,9900
33,2016-04-03,50209
34,2016-03-13,53851
35,2016-12-05,48363
36,2016-12-22,14595
37,2016-07-06,28496
38,2016-10-22,44288
39,2016-03-25,52583
40,2016-08-08,31917
41,2016-05-03,26288
42,2016-03-01,59385
43,2016-05-06,47768
44,2016-08-10,43820
45,2016-04-11,34656
46,2016-10-02,43496
47,2016-10-14,47581
48,2016-08-24,51623
49,2016-07-27,41428
50,2016-01-08,36015
51,2016-12-27,4391
52,2016-04-14,20843
53,2016-11-02,34546
54,2016-02-08,34
55,2016-10-03,36423
56,2016-07-13,52999
57,2016-02-01,58166
58,2016-06-05,39268
59,2016-05-13,6974
60,2016-01-13,15958
61,2016-01-14,57988
62,2016-07-08,1275
63,2016-04-24,9780
64,2016-12-05,43777
65,2016-03-01,12588
66,2016-06-10,7573
67,2016-11-09,19442
68,2016-08-02,53307
69,2016-01-05,54830
70,2016-10-02,6784
71,2016-09-24,11326
72,2016-04-07,16661
73,2016-08-13,58777
74,2016-09-13,29021
75,2016-01-27,38832
76,2016-05-07,40588
77,2016-08-11,2965
78,2016-08-23,41592
79,2016-12-25,51684
80,2016-01-10,42869
81,2016-12-12,26003
82,2016-01-10,20255
83,2016-11-23,38369
84,2016-09-14,41917
85,2016-01-01,42748
86,2016-08-06,22151
87,2016-09-15,22697
88,2016-02-06,13908
89,2016-03-11,16498
90,2016-04-04,830
91,2016-07-18,26861
92,2016-11-15,1739
93,2016-01-15,50579
94,2016-07-04,1906
95,2016-04-15,18755
96,2016-12-05,27791
97,2016-06-10,32526
98,2016-01-24,28287
99,2016-05-10,40171
100,2016-07-12,44684
101,2016-10-13,57698
102,2016-02-20,6499
103,2016-05-08,2799
104,2016-06-21,27010
105,2016-11-05,46289
106,2016-04-07,6420
107,2016-03-16,14826
108,2016-09-20,24284
109,2016-01-24,18492
110,2016-03-09,19763
111,2016-06-25,53930
112,2016-12-15,43009
113,2016-04-07,35032
114,2016-01-02,42790
115,2016-02-07,31152
116,2016-07-08,10017
117,2016-04-16,31596
118,2016-08-05,44608
119,2016-02-14,6959
120,2016-06-06,50627
121,2016-09-28,43213
122,2016-07-01,20834
123,2016-08-14,49011
124,2016-07-26,17589
125,2016-07-27,26357
126,2016-08-09,39846
127,2016-12-17,13023
128,2016-05-23,49149
129,2016-01-16,16044
130,2016-09-24,44948
131,2016-08-20,58839
132,2016-10-28,55381
133,2016-02-25,49318
134,2016-05-22,41648
135,2016-03-28,33279
136,2016-10-20,32531
137,2016-06-21,57460
138,2016-11-04,6309
139,2016-03-19,10657
140,2016-08-07,1420
141,2016-02-13,27620
142,2016-03-18,45389
143,2016-02-09,4655
144,2016-02-01,29441
145,2016-09-14,6573
146,2016-09-25,34725
147,2016-10-25,25084
148,2016-08-21,59215
149,2016-11-12,58227
150,2016-09-16,48729
151,2016-12-22,871
152,2016-03-26,43329
153,2016-04-25,6759
154,2016-10-09,53954
155,2016-09-26,52111
156,2016-04-08,12824
157,2016-04-22,57996
158,2016-06-10,1905
159,2016-08-26,492
160,2016-03-16,14553
161,2016-11-06,3090
162,2016-05-18,40363
163,2016-12-08,58251
164,2016-05-28,12220
165,2016-01-02,19683
166,2016-11-09,55364
167,2016-01-01,5479
168,2016-03-11,16468
169,2016-10-03,59198
170,2016-12-18,20816
171,2016-10-11,51814
172,2016-04-16,21285
173,2016-01-12,23679
174,2016-08-12,311
175,2016-03-13,23070
